id,departamento,municipio,year,hombres_rural,hombres_urbano,mujeres_rural,mujeres_urbano
488,"11 -  U S U L U T A N","14- Ozatlán",2008,60,57,62,51
489,"11 -  U S U L U T A N","15- Puerto el Triunfo",2008,118,97,43,33
490,"11 -  U S U L U T A N","16- San Agustín",2008,25,22,28,31
491,"11 -  U S U L U T A N","17- San Buenaventura",2008,28,21,31,30
492,"11 -  U S U L U T A N","18- San Dionisio",2008,34,31,21,24
493,"11 -  U S U L U T A N","19- San Francisco Javier",2008,15,20,41,33
494,"11 -  U S U L U T A N","20- Santa Elena",2008,56,75,130,118
495,"11 -  U S U L U T A N","21- Santa María",2008,78,66,22,13
496,"11 -  U S U L U T A N","22- Santiago de María",2008,141,136,40,37
497,"11 -  U S U L U T A N","23- Tecapán",2008,35,29,47,48
498,"12- SAN MIGUEL","01- San Miguel",2008,2397,2343,35,43
499,"12- SAN MIGUEL","02- Carolina",2008,17,17,64,40
500,"12- SAN MIGUEL","03- Ciudad Barrios",2008,130,131,171,175
501,"12- SAN MIGUEL","04- Comacarán",2008,9,8,22,18
502,"12- SAN MIGUEL","05- Chapeltique",2008,44,40,95,92
503,"12- SAN MIGUEL","06- Chinameca",2008,107,88,145,143
504,"12- SAN MIGUEL","07- Chirilagua",2008,98,101,127,128
505,"12- SAN MIGUEL","08- El Tránsito",2008,101,112,85,80
506,"12- SAN MIGUEL","09- Lolotique",2008,57,39,100,88
507,"12- SAN MIGUEL","10- Moncagua",2008,34,38,200,195
508,"12- SAN MIGUEL","11- Nueva Guadalupe",2008,48,68,1,0
509,"12- SAN MIGUEL","12- Nuevo Edén de San Juan",2008,10,12,35,31
510,"12- SAN MIGUEL","13- Quelepa",2008,29,23,51,45
511,"12- SAN MIGUEL","14- San Antonio",2008,9,4,50,50
512,"12- SAN MIGUEL","15- San Gerardo",2008,24,19,36,35
513,"12- SAN MIGUEL","16- San Jorge",2008,48,45,49,54
514,"12- SAN MIGUEL","17- San Luis de la Reina",2008,11,13,30,38
515,"12- SAN MIGUEL","18- San Rafael Oriente",2008,77,86,68,59
516,"12- SAN MIGUEL","19- Sesori",2008,21,15,79,76
517,"12- SAN MIGUEL","20- Uluazapa",2008,11,20,21,19
518,"13- MORAZÁN","01- San Francisco Gotera",2008,209,139,73,52
519,"13- MORAZÁN","02- Arambala",2008,11,7,51,48
520,"13- MORAZÁN","03- Cacaopera",2008,9,16,82,84
521,"13- MORAZÁN","04- Corinto",2008,55,51,159,162
522,"13- MORAZÁN","05- Chilanga",2008,60,43,62,59
523,"13- MORAZÁN","06- Delicias de Concepción",2008,27,35,15,15
524,"13- MORAZÁN","07- El Divisadero",2008,24,27,57,50
525,"13- MORAZÁN","08- El Rosario",2008,9,3,6,7
526,"13- MORAZÁN","09- Gualococti",2008,10,10,27,30
527,"13- MORAZÁN","10- Guatajiagua",2008,39,50,91,92
528,"13- MORAZÁN","11- Joateca",2008,7,10,40,23
529,"13- MORAZÁN","12- Jocoaitique",2008,31,20,16,10
530,"13- MORAZÁN","13- Jocoro",2008,32,31,72,60
531,"13- MORAZÁN","14- Lolotiquillo",2008,22,16,31,28
532,"13- MORAZÁN","15- Meanguera",2008,11,9,49,47
533,"13- MORAZÁN","16- Osicala",2008,15,25,72,67
534,"13- MORAZÁN","17- Perquín",2008,13,9,49,66
535,"13- MORAZÁN","18- San Carlos",2008,12,10,36,43
536,"13- MORAZÁN","19- San Fernando",2008,10,3,10,11
537,"13- MORAZÁN","20- San Isidro",2008,11,4,22,14
538,"13- MORAZÁN","21- San Simón",2008,28,21,92,93
539,"13- MORAZÁN","22- Sensembra",2008,8,16,9,14
540,"13- MORAZÁN","23- Sociedad",2008,32,23,80,82
541,"13- MORAZÁN","24- Torola",2008,5,4,29,20
542,"13- MORAZÁN","25- Yamabal",2008,10,12,34,38
543,"13- MORAZÁN","26- Yoloaiquín",2008,12,15,18,16
544,"14- L A    U N I O N","01- La Unión",2008,326,291,130,146
545,"14- L A    U N I O N","02- Anamorós",2008,27,25,119,107
546,"14- L A    U N I O N","03- Bolívar",2008,15,12,29,35
547,"14- L A    U N I O N","04- Concepción de Oriente",2008,23,13,96,88
