id,departamento,municipio,year,hombres_rural,hombres_urbano,mujeres_rural,mujeres_urbano
815,"12- SAN MIGUEL","18- San Rafael Oriente",2009,73,68,67,60
816,"12- SAN MIGUEL","19- Sesori",2009,28,24,94,61
817,"12- SAN MIGUEL","20- Uluazapa",2009,19,30,1,4
818,"13- MORAZÁN","01- San Francisco Gotera",2009,219,186,62,59
819,"13- MORAZÁN","02- Arambala",2009,14,12,40,42
820,"13- MORAZÁN","03- Cacaopera",2009,25,32,74,51
821,"13- MORAZÁN","04- Corinto",2009,60,44,166,125
822,"13- MORAZÁN","05- Chilanga",2009,30,32,63,55
823,"13- MORAZÁN","06- Delicias de Concepción",2009,34,28,15,20
824,"13- MORAZÁN","07- El Divisadero",2009,20,32,55,45
825,"13- MORAZÁN","08- El Rosario",2009,10,9,9,3
826,"13- MORAZÁN","09- Gualococti",2009,21,13,28,15
827,"13- MORAZÁN","10- Guatajiagua",2009,64,50,82,85
828,"13- MORAZÁN","11- Joateca",2009,20,11,41,24
829,"13- MORAZÁN","12- Jocoaitique",2009,29,37,13,8
830,"13- MORAZÁN","13- Jocoro",2009,38,43,73,62
831,"13- MORAZÁN","14- Lolotiquillo",2009,20,11,28,19
832,"13- MORAZÁN","15- Meanguera",2009,5,1,48,46
833,"13- MORAZÁN","16- Osicala",2009,27,27,61,51
834,"13- MORAZÁN","17- Perquín",2009,10,6,68,40
835,"13- MORAZÁN","18- San Carlos",2009,8,7,34,27
836,"13- MORAZÁN","19- San Fernando",2009,4,5,3,6
837,"13- MORAZÁN","20- San Isidro",2009,8,4,22,8
838,"13- MORAZÁN","21- San Simón",2009,27,28,102,80
839,"13- MORAZÁN","22- Sensembra",2009,12,13,17,18
840,"13- MORAZÁN","23- Sociedad",2009,28,22,78,75
841,"13- MORAZÁN","24- Torola",2009,6,6,23,19
842,"13- MORAZÁN","25- Yamabal",2009,12,6,48,32
843,"13- MORAZÁN","26- Yoloaiquín",2009,12,21,15,11
844,"14- L A    U N I O N","01- La Unión",2009,378,292,133,124
845,"14- L A    U N I O N","02- Anamorós",2009,41,37,150,141
846,"14- L A    U N I O N","03- Bolívar",2009,11,11,44,33
847,"14- L A    U N I O N","04- Concepción de Oriente",2009,27,18,92,97
848,"14- L A    U N I O N","05- Conchagua",2009,132,154,298,235
849,"14- L A    U N I O N","06- El Carmen",2009,36,32,111,101
850,"14- L A    U N I O N","07- El Sauce",2009,14,24,59,48
851,"14- L A    U N I O N","08- Intipucá",2009,49,55,17,11
852,"14- L A    U N I O N","09- Lislique",2009,15,9,131,139
853,"14- L A    U N I O N","10- Meanguera del Golfo",2009,14,18,3,8
854,"14- L A    U N I O N","11- Nueva Esparta",2009,36,25,114,93
855,"14- L A    U N I O N","12- Pasaquina",2009,56,60,228,180
856,"14- L A    U N I O N","13- Polorós",2009,35,26,95,60
857,"14- L A    U N I O N","14- San Alejo",2009,100,98,118,106
858,"14- L A    U N I O N","15- San José",2009,18,15,15,9
859,"14- L A    U N I O N","16- Santa Rosa de Lima",2009,346,248,36,39
860,"14- L A    U N I O N","17- Yayantique",2009,24,21,28,22
861,"14- L A    U N I O N","18- Yucuaiquín",2009,33,32,44,42
